"species","cultivar","location","repetition","split","year","pheno","measurement_type"
"Pistachio","Mateur","Sfax",2,"Validation",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Validation",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Validation",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Validation",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Validation",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Validation",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",3,"Validation",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Validation",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Validation",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Validation",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Validation",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Validation",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",4,"Validation",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Validation",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Validation",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Validation",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Validation",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Validation",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",5,"Validation",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Validation",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Validation",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Validation",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Validation",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Validation",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",6,"Validation",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Validation",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Validation",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Validation",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Validation",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Validation",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",7,"Validation",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Validation",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Validation",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Validation",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Validation",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Validation",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",8,"Validation",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Validation",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Validation",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Validation",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Validation",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Validation",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",9,"Validation",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation",2018,99,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2000,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2005,107,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2006,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2007,130,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2008,112,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2010,124,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2011,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2012,116,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2013,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2014,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2015,106,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2017,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2018,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration",2019,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Validation",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Validation",2002,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Validation",2003,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Validation",2004,118,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Validation",2009,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Validation",2016,126,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2002,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2003,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2004,118,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2005,107,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2006,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2007,130,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2008,112,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2010,124,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2013,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2014,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2016,126,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2018,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Calibration",2019,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Validation",2000,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Validation",2009,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Validation",2011,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Validation",2012,116,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Validation",2015,106,"flowering_f50"
"Pistachio","Ohadi","Sfax",2,"Validation",2017,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2000,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2002,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2003,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2004,118,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2005,107,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2006,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2008,112,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2010,124,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2011,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2013,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2015,106,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2017,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2018,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Calibration",2019,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Validation",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Validation",2007,130,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Validation",2009,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Validation",2012,116,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Validation",2014,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",3,"Validation",2016,126,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2000,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2002,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2003,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2004,118,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2005,107,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2006,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2008,112,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2009,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2010,124,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2011,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2012,116,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2013,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2014,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2015,106,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2018,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Calibration",2019,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Validation",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Validation",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Validation",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Validation",2007,130,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Validation",2016,126,"flowering_f50"
"Pistachio","Ohadi","Sfax",4,"Validation",2017,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2000,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2002,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2003,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2004,118,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2005,107,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2006,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2007,130,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2008,112,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2009,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2010,124,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2011,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2012,116,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2013,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Calibration",2016,126,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Validation",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Validation",2014,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Validation",2015,106,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Validation",2017,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Validation",2018,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",5,"Validation",2019,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2002,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2004,118,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2006,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2007,130,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2008,112,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2009,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2011,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2012,116,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2013,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2015,106,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2016,126,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2017,109,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Calibration",2018,104,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Validation",2000,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Validation",2003,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Validation",2005,107,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Validation",2010,124,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Validation",2014,119,"flowering_f50"
"Pistachio","Ohadi","Sfax",6,"Validation",2019,108,"flowering_f50"
"Pistachio","Ohadi","Sfax",7,"Calibration",1997,121,"flowering_f50"
"Pistachio","Ohadi","Sfax",7,"Calibration",1998,117,"flowering_f50"
"Pistachio","Ohadi","Sfax",7,"Calibration",1999,103,"flowering_f50"
"Pistachio","Ohadi","Sfax",7,"Calibration",2000,108,"flowering_f50"
